,Full Intro,Full Last Seen,House,Blood Status,1 Intro,1 Last Seen,1 Year,2 Intro,2 Last Seen,2 Year,3 Intro,3 Last Seen,3 Year,4 Intro,4 Last Seen,4 Year,5 Intro,5 Last Seen,5 Year,6 Intro,6 Last Seen,6 Year,7 Intro,7 Last Seen,7 Year
Harry Potter,1.01,7.37,,,1.01,1.17,First Year,2.01,2.18,Second Year,3.01,3.22,Third Year,4.01,4.37,Fourth Year,5.01,5.38,Fifth Year,6.03,6.3,Sixth Year,7.02,7.37,Dropout
Hermione Granger,1.06,7.37,,,1.06,1.17,First Year,2.04,2.18,Second Year,3.04,3.22,Third Year,4.05,4.37,Fourth Year,5.04,5.38,Fifth Year,6.05,6.3,Sixth Year,7.04,7.37,Dropout
Ronald Weasley,1.06,7.37,,,1.06,1.17,First Year,2.02,2.18,Second Year,3.04,3.22,Third Year,4.04,4.37,Fourth Year,5.04,5.38,Fifth Year,6.05,6.3,Sixth Year,7.04,7.37,Dropout
Fred Weasley,1.06,7.31,,,1.06,1.17,Third Year,2.03,2.18,Fourth Year,3.04,3.16,Fifth Year,4.04,4.37,Sixth Year,5.04,5.38,Seventh Year,6.06,6.3,,7.04,7.31,
George Weasley,1.06,7.36,,,1.06,1.16,Third Year,2.03,2.18,Fourth Year,3.04,3.16,Fifth Year,4.04,4.37,Sixth Year,5.04,5.38,Seventh Year,6.06,6.3,,7.04,7.36,
Ginny Weasley,1.06,7.37,,,1.06,1.16,,2.03,2.18,First Year,3.04,3.13,Second Year,4.05,4.31,Third Year,5.04,5.38,Fourth Year,6.05,6.3,Fifth Year,7.05,7.37,Sixth Year
Albus Dumbledore,1.01,6.27,,,1.01,1.17,,2.05,2.18,,3.05,3.22,,4.12,4.37,,5.08,5.37,,6.03,6.27,,,,
Voldemort,1.17,7.36,,,1.17,1.17,,2.17,2.17,,,,,4.32,4.34,,5.36,5.36,,,,,7.01,7.36,
Draco Malfoy,1.06,7.37,,,1.06,1.17,First Year,2.04,2.18,Second Year,3.05,3.16,Third Year,4.08,4.37,Fourth Year,5.1,5.32,Fifth Year,6.06,6.28,Sixth Year,7.01,7.37,Seventh Year
Minerva McGonagall,1.01,7.36,,,1.01,1.16,,2.05,2.18,,3.05,3.15,,4.12,4.37,,5.06,5.38,,6.08,6.3,,7.3,7.36,
Lucius Malfoy,2.04,7.36,,,,,,2.04,2.18,,,,,4.08,4.33,,5.09,5.35,,,,,7.01,7.36,
Bellatrix Lestrange,5.34,7.36,,,,,,,,,,,,,,,5.34,5.36,,6.02,6.02,,7.01,7.36,
Remus Lupin,3.05,7.31,,,,,,,,,3.05,3.22,,,,,5.03,5.38,,6.06,6.3,,7.4,7.31,
Sirius Black,3.03,5.35,,,,,,,,,3.03,3.21,,4.19,4.36,,5.04,5.35,,,,,,,
Peter Pettigrew,1.06,7.23,,,1.06,1.12,,2.03,2.12,,3.04,3.2,,4.32,4.34,,,,,6.02,6.02,,7.01,7.23,
Rubeus Hagrid,1.04,7.36,,,1.04,1.17,,2.04,2.18,,3.05,3.22,,4.11,4.37,,5.06,5.38,,6.06,6.3,,7.4,7.36,
Argus Filch,1.09,7.31,,,1.09,1.15,,2.08,2.13,,3.08,3.14,,4.12,4.25,,5.14,5.3,,6.12,6.21,,7.3,7.31,
Arabella Figg,5.01,6.3,,,,,,,,,,,,,,,5.01,5.08,,6.3,6.3,,,,
Cedric Diggory,3.09,4.32,,,,,,,,,3.09,3.13,Sixth Year,4.06,4.32,Seventh Year,,,,,,,,,
Viktor Krum,4.08,7.08,,,,,,,,,,,,4.08,4.37,,,,,,,,7.08,7.08,
Fleur Delacour,4.12,7.33,,,,,,,,,,,,4.12,4.37,,,,,6.05,6.3,,7.04,7.33,
Severus Snape,1.07,7.32,,,1.07,1.17,,2.05,2.16,,3.05,3.22,,4.17,4.36,,5.06,5.38,,6.02,6.28,,7.01,7.32,
Vernon Dursley,1.01,7.03,,,1.01,1.04,,2.01,2.01,,3.01,3.22,,4.03,4.37,,5.01,5.38,,6.03,6.3,,7.03,7.03,
Petunia Dursley,1.01,7.03,,,1.01,1.04,,2.01,2.01,,3.01,3.02,,4.03,4.37,,5.01,5.38,,6.03,6.3,,7.03,7.03,
Dudley Dursley,1.01,7.03,,,1.01,1.04,,2.01,2.01,,3.01,3.02,,4.03,4.37,,5.01,5.38,,6.03,6.3,,7.03,7.03,
Dobby,2.01,7.23,,,,,,2.01,2.18,,,,,4.21,4.28,,5.18,5.27,,6.19,6.21,,7.23,7.23,
Filius Flitwick,1.08,7.36,,,1.08,1.16,,2.07,2.16,,3.05,3.15,,4.12,4.31,,5.13,5.31,,6.18,6.29,,7.3,7.36,
Pomona Sprout,1.08,7.36,,,1.08,1.08,,2.06,2.16,,3.08,3.11,,4.12,4.23,,5.11,5.31,,6.14,6.3,,7.3,7.36,
Sybill Trelawney,3.06,7.32,,,,,,,,,3.06,3.16,,4.13,4.29,,5.12,5.26,,6.08,6.25,,7.32,7.32,
Quirinus Quirrell,1.05,1.17,,,1.05,1.17,,,,,,,,,,,,,,,,,,,
Cuthbert Binns,1.08,5.29,,,1.08,1.16,,2.09,2.09,,,,,4.29,4.29,,5.12,5.29,,,,,,,
Barty Crouch Jr.,4.35,4.36,,,,,,,,,,,,4.35,4.36,,,,,,,,,,
Barty Crouch Sr.,4.07,4.28,,,,,,,,,,,,4.07,4.28,,,,,,,,,,
Alastor Moody,4.35,7.04,,,,,,,,,,,,4.35,4.37,,5.03,5.38,,6.3,6.3,,7.04,7.04,
Lavender Brown,1.07,7.32,,,1.07,1.1,First Year,2.09,2.09,Second Year,3.06,3.16,Third Year,4.13,4.28,Fourth Year,5.11,5.31,Fifth Year,6.09,6.24,Sixth Year,7.32,7.32,Seventh Year
Parvati Patil,1.07,7.32,,,1.07,1.13,First Year,2.09,2.09,Second Year,3.06,3.16,Third Year,4.13,4.28,Fourth Year,5.11,5.31,Fifth Year,6.09,6.15,Sixth Year,7.32,7.32,Seventh Year
Seamus Finnegan,1.07,7.36,,,1.07,1.11,First Year,2.05,2.16,Second Year,3.04,3.22,Third Year,4.07,4.24,Fourth Year,5.11,5.32,Fifth Year,6.08,6.3,Sixth Year,7.29,7.36,Seventh Year
Neville Longbottom,1.06,7.36,,,1.06,1.17,First Year,2.05,2.16,Second Year,3.04,3.16,Third Year,4.11,4.31,Fourth Year,5.1,5.38,Fifth Year,6.07,6.3,Sixth Year,7.28,7.36,Seventh Year
Dean Thomas,1.07,7.32,,,1.07,1.11,First Year,2.05,2.15,Second Year,3.04,3.22,Third Year,4.07,4.24,Fourth Year,5.11,5.32,Fifth Year,6.08,6.29,Sixth Year,7.15,7.32,Dropout
Hannah Abbott,1.07,7.36,,,1.07,1.07,First Year,2.11,2.15,Second Year,3.09,3.09,Third Year,4.13,4.19,Fourth Year,5.16,5.38,Fifth Year,,,,7.31,7.36,Seventh Year
Susan Bones,1.07,6.18,,,1.07,1.07,First Year,,,,,,,,,,5.16,5.38,Fifth Year,6.18,6.18,Sixth Year,,,
Ernie Macmillan,2.11,7.32,,,,,,2.11,2.15,Second Year,,,,4.07,4.19,Fourth Year,5.11,5.38,Fifth Year,6.09,6.28,Sixth Year,7.29,7.32,Seventh Year
Justin Finch-Fletchley,1.07,5.38,,,1.07,1.07,First Year,2.06,2.18,Second Year,,,,4.18,4.18,Fourth Year,5.16,5.38,Fifth Year,,,,,,
Vincent Crabbe,1.06,7.31,,,1.06,1.13,First Year,2.06,2.15,Second Year,3.05,3.15,Third Year,4.11,4.37,Fourth Year,5.1,5.38,Fifth Year,6.07,6.3,Sixth Year,7.31,7.31,Seventh Year
Gregory Goyle,1.06,7.31,,,1.06,1.13,First Year,2.06,2.15,Second Year,3.05,3.15,Third Year,4.11,4.37,Fourth Year,5.1,5.38,Fifth Year,6.07,6.3,Sixth Year,7.31,7.31,Seventh Year
Padma Patil,1.07,7.29,,,1.07,1.07,First Year,,,,,,,4.23,4.27,Fourth Year,5.16,5.31,Fifth Year,,,,7.29,7.29,Seventh Year
Michael Corner,5.16,7.29,,,,,First Year,,,,,,,,,,5.16,5.18,Fifth Year,6.09,6.09,Sixth Year,7.29,7.29,Seventh Year
Anthony Goldstein,5.16,7.29,,,,,First Year,,,,,,,,,,5.16,5.38,Fifth Year,,,,7.29,7.29,Seventh Year
Terry Boot,1.07,7.29,,,1.07,1.07,First Year,,,,,,,,,,5.16,5.38,Fifth Year,6.09,6.09,Sixth Year,7.29,7.29,Seventh Year
Cho Chang,3.13,7.29,,,,,,,,,3.13,3.15,Third Year,4.07,4.37,Fourth Year,5.1,5.38,Fifth Year,6.07,6.07,Sixth Year,7.29,7.29,Seventh Year
Pansy Parkinson,1.09,7.31,,,1.09,1.09,First Year,,,,3.06,3.07,Third Year,4.18,4.28,Fourth Year,5.1,5.31,Fifth Year,6.07,6.21,Sixth Year,7.31,7.31,Seventh Year
Blaise Zabini,1.07,6.18,,,1.07,1.07,First Year,,,,,,,,,,,,,6.07,6.18,Sixth Year,,,
Theodore Nott,1.07,6.09,,,1.07,1.07,First Year,,,,,,,,,,5.26,5.26,Fifth Year,6.09,6.09,Sixth Year,,,
Cormac McLaggen,6.07,6.19,,,,,,,,,,,,,,,,,,6.07,6.19,Seventh Year,,,
Katie Bell,1.11,7.3,,,1.11,1.11,Second Year,2.07,2.07,Third Year,3.08,3.15,Fourth Year,4.17,4.17,Fifth Year,5.13,5.31,Sixth Year,6.09,6.24,Seventh Year,7.3,7.3,
Lee Jordan,1.06,7.36,,,1.06,1.16,Third Year,2.04,2.14,Fourth Year,3.13,3.15,Fifth Year,4.13,4.21,Sixth Year,5.1,5.31,Seventh Year,,,,7.08,7.36,
Angelina Johnson,1.11,7.3,,,1.11,1.11,Third Year,2.07,2.07,Fourth Year,3.08,3.15,Fifth Year,4.16,4.23,Sixth Year,5.12,5.31,Seventh Year,,,,7.3,7.3,
Roger Davies,4.23,5.3,,,,,,,,,,,,4.23,4.23,Sixth Year,5.25,5.3,Seventh Year,,,,,,
Alicia Spinnet,1.11,7.3,,,1.11,1.11,Third Year,2.07,2.1,Fourth Year,3.08,3.15,Fifth Year,4.22,4.22,Sixth Year,5.13,5.31,Seventh Year,,,,7.3,7.3,
Percy Weasley,1.06,7.36,,,1.06,1.17,Fifth Year,2.04,2.16,Sixth Year,3.04,3.22,Seventh Year,4.05,4.26,,5.08,5.27,,6.16,6.3,,7.13,7.36,
Charlie Weasley,4.05,7.36,,,,,,,,,,,,4.05,4.2,,,,,,,,7.07,7.36,
Bill Weasley,4.05,7.33,,,,,,,,,,,,4.05,4.36,,5.05,5.23,,6.06,6.3,,7.04,7.33,
Penelope Clearwater,3.05,3.22,,,,,,,,,3.05,3.22,Seventh Year,,,,,,,,,,,,
Oliver Wood,1.09,7.34,,,1.09,1.15,Fifth Year,2.07,2.14,Sixth Year,3.08,3.15,Seventh Year,4.07,4.07,,,,,,,,7.3,7.34,
Marcus Flint,1.11,3.15,,,1.11,1.11,Fifth Year,2.07,2.1,Sixth Year,3.13,3.15,Seventh Year,,,,,,,,,,,,
Nymphadora Tonks,5.03,7.31,,,,,,,,,,,,,,,5.03,5.38,,6.05,6.3,,7.04,7.31,
Gilderoy Lockhart,2.04,5.23,,,,,,2.04,2.18,,,,,,,,5.23,5.23,,,,,,,
Andromeda Tonks,7.05,7.05,,,,,,,,,,,,,,,,,,,,,7.05,7.05,
Narcissa Malfoy,4.08,7.36,,,,,,,,,,,,4.08,4.08,,,,,6.02,6.06,,7.01,7.36,
Molly Weasley,1.06,7.36,,,1.06,1.17,,2.03,2.18,,3.04,3.22,,4.05,4.37,,5.04,5.38,,6.05,6.3,,7.05,7.36,
Arthur Weasley,2.03,7.33,,,,,,2.03,2.18,,3.04,3.22,,4.04,4.11,,5.05,5.38,,6.05,6.3,,7.04,7.33,
Firenze,1.15,7.36,,,1.15,1.15,,,,,,,,,,,5.26,5.27,,6.3,6.3,,7.31,7.36,
Bane,1.15,7.36,,,1.15,1.15,,,,,,,,,,,5.3,5.33,,,,,7.36,7.36,
Aragog,2.15,2.15,,,,,,2.15,2.15,,,,,,,,,,,,,,,,
Dennis Creevey,4.12,5.16,,,,,,,,,,,,4.12,4.26,First Year,5.11,5.16,Second Year,,,,,,
Colin Creevey,2.06,5.31,,,,,,2.06,2.1,First Year,3.08,3.08,Second Year,4.12,4.26,Third Year,5.11,5.31,Fourth Year,,,,,,
Zacharias Smith,5.16,7.31,,,,,,,,,,,,,,,5.16,5.26,Fifth Year,6.14,6.3,Sixth Year,7.31,7.31,Seventh Year
Luna Lovegood,5.1,7.36,,,,,,,,,,,,,,,5.1,5.38,Fourth Year,6.07,6.3,Fifth Year,7.08,7.36,Sixth Year
Kingsley Shacklebolt,5.03,7.3,,,,,,,,,,,,,,,5.03,5.36,,6.3,6.3,,7.04,7.3,
Cornelius Fudge,4.08,6.3,,,,,,,,,3.03,3.22,,4.08,4.36,,5.08,5.37,,6.01,6.3,,,,
Rufus Scrimgeour,6.01,7.07,,,,,,,,,,,,,,,,,,6.01,6.3,,7.07,7.07,
Aberforth Dumbledore,7.28,7.36,,,,,,,,,,,,,,,,,,,,,7.28,7.36,
Hedwig,1.05,7.04,,,1.05,1.17,,2.01,2.12,,3.01,3.22,,4.02,4.37,,5.03,5.38,,6.03,6.11,,7.02,7.04,
Dolores Umbridge,5.08,7.13,,,,,,,,,,,,,,,5.08,5.38,,6.3,6.3,,7.12,7.13,
Peeves,1.07,7.32,,,1.07,1.16,,2.08,2.13,,3.07,3.22,,4.12,4.22,,5.12,5.3,,6.15,6.29,,7.32,7.32,
Poppy Pomfrey,1.17,7.33,,,1.17,1.17,,2.1,2.16,,3.05,3.22,,4.2,4.36,,5.32,5.38,,6.19,6.29,,7.33,7.33,
Ludo Bagman,4.07,4.31,,,,,,,,,,,,4.07,4.31,,,,,,,,,,
Stan Shunpike,3.03,7.04,,,,,,,,,3.03,3.03,,4.09,4.09,,5.24,5.24,,,,,7.04,7.04,
Gabrielle Delacour,4.26,7.08,,,,,,,,,,,,4.26,4.31,,,,,,,,7.06,7.08,
Antonin Dolohov,5.35,7.36,,,,,,,,,,,,,,,5.35,5.35,,,,,7.01,7.36,
Dedalus Diggle,1.02,7.03,,,1.02,1.05,,,,,,,,,,,5.03,5.03,,,,,7.03,7.03,
Kreacher,5.06,7.36,,,,,,,,,,,,,,,5.06,5.32,,6.03,6.21,,7.1,7.36,
Fenrir Greyback,6.27,7.36,,,,,,,,,,,,,,,,,,6.27,6.28,,7.23,7.36,
Garrick Ollivander,1.05,7.25,,,1.05,1.05,,,,,,,,4.18,4.18,,,,,,,,7.23,7.25,
Xenophilius Lovegood,7.08,7.22,,,,,,,,,,,,,,,,,,,,,7.08,7.22,
Rita Skeeter,4.18,6.3,,,,,,,,,,,,4.18,4.37,,5.25,5.25,,6.3,6.3,,,,
Horace Slughorn,6.04,7.36,,,,,,,,,,,,,,,,,,6.04,6.3,,7.3,7.36,
Olympe Maxime,4.15,6.3,,,,,,,,,,,,4.15,4.37,,,,,6.3,6.3,,,,
Augustus Rookwood,5.35,7.36,,,,,,,,,,,,,,,5.35,5.35,,,,,7.36,7.36,
Pius Thicknesse,7.13,7.36,,,,,,,,,,,,,,,,,,,,,7.13,7.36,
Elphias Doge,5.03,7.08,,,,,,,,,,,,,,,5.03,5.03,,,,,7.08,7.08,
Rolanda Hooch,1.09,6.14,,,1.09,1.11,,2.1,2.16,,3.09,3.15,,,,,5.19,5.19,,6.14,6.14,,,,
Wilhelmina Grubbly-Plank,4.24,5.21,,,,,,,,,,,,4.24,4.24,,5.1,5.21,,,,,,,
Romilda Vane,6.07,6.24,,,,,,,,,,,,,,,,,,6.07,6.24,,,,
Winky,4.08,4.35,,,,,,,,,,,,4.08,4.35,,,,,,,,,,
Amelia Bones,5.08,5.08,,,,,,,,,,,,,,,5.08,5.08,,,,,,,
Ted Tonks,7.05,7.15,,,,,,,,,,,,,,,,,,,,,7.05,7.15,
Igor Karkaroff,4.15,4.29,,,,,,,,,,,,4.15,4.29,,,,,,,,,,